# BEAST v1.7.5
# Generated Thu Sep 05 10:55:25 BST 2013 [seed=1]
state	location.rates1	location.rates2	location.rates3	location.rates4	location.rates5	location.rates6	location.rates7	location.rates8	location.rates9	location.rates10	location.rates11	location.rates12	location.rates13	location.rates14	location.rates15	location.rates16	location.rates17	location.rates18	location.rates19	location.rates20	location.rates21	location.indicators1	location.indicators2	location.indicators3	location.indicators4	location.indicators5	location.indicators6	location.indicators7	location.indicators8	location.indicators9	location.indicators10	location.indicators11	location.indicators12	location.indicators13	location.indicators14	location.indicators15	location.indicators16	location.indicators17	location.indicators18	location.indicators19	location.indicators20	location.indicators21	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
25000	3.999577159204958	0.5190312006428673	1.0033256487881355	3.8215702011641857	1.5298713354251297	0.16020926494474672	1.3406443120371996	2.7142598531799966	0.7765567256432744	0.47815614308351273	0.39131489648728424	1.7010337925421524	0.7027298772883055	1.291891441667685	0.13920557422300422	0.7018335847846552	0.9534645521639531	1.3232585182931453	1.501345542019681	0.4829090449556809	0.8540060944361821	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
50000	0.4673024199607986	1.3303347637060157	3.566462922759767	3.5150223639356657	1.0772853912852274	0.06368524141831224	0.35967217315112787	0.8549448582376231	0.8526945568489597	0.5007645033621289	0.308148428107691	0.38554187382283883	2.0938434876101097	0.2554656343948563	0.0875566943627805	3.0565258220771168	0.36208818435676104	0.2728042003835688	13.429086593777622	0.14980655496631615	0.32915103626652265	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	8.0
75000	0.09808181850535584	1.3975406867525788	1.9871569518981274	3.330087655514871	1.6871140111817156	0.2968422369627149	0.6196296793214561	1.330299544263767	1.9703883189854943	0.1322626983737934	1.079571187397204	0.2318973210443157	0.2661458376879585	0.17447954708907518	0.9750572952271562	2.210668023266127	0.4024859237278453	0.7936542569607984	4.675447713156316	0.30496682949342463	0.15280537963042837	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	8.0
100000	0.10954902393258499	2.6121362438191675	1.4761319951128378	1.014068261370785	0.7912479966862147	1.4602104058216432	0.19860801718754093	0.06738651062540202	1.5161745552519619	0.07931261461206864	1.9117486741991727	0.4244351054545525	0.25170489354758663	0.6517229922934679	1.0043785014672615	0.770155352687209	0.1178859074151766	0.46984269514923294	2.18821945136933	0.6610969179606423	0.2821219537410572	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	7.0
125000	2.446497751423978	1.4836852442156494	1.5561011711546702	1.0342427173342035	0.8833086756241518	0.6118781037720465	2.580948398911935	0.047382900282775975	1.2569686371236533	0.3309015515168917	0.26695187217076355	0.5693819400889916	0.029024760570006965	1.9497723702397498	0.2479065094178526	0.8624776068816951	0.1837253985347853	0.5396556329971824	1.5462984370355684	0.7681523510052812	0.36120536159990313	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	8.0
150000	2.075993180788023	0.18769090451037868	3.0959692309398097	1.8258247319547143	0.7896841547089801	1.3239889989752949	2.0006028505250293	0.22985128298530708	1.1227953269419164	0.3264800698494149	1.6793582149363422	1.0010575177659562	0.5602647339296826	2.406548440053209	0.07495337486424339	1.1362790482244685	0.5925230611443042	1.582488136905885	1.0926339375544387	1.4602548787241774	0.9571622031099034	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	6.0
175000	0.9548791889659325	0.5369356910251234	1.6237141487902567	1.7177563313378446	1.1545697759139821	0.21524484153995208	1.0829817574860345	0.10234651744663827	2.0575724205956347	0.35262560285717903	2.2650168110455615	0.5336348006960165	1.162162362064861	3.231646267622619	0.26848852772002507	0.21731743403164908	1.477857251150733	3.350939858989336	1.0291431974489404	1.657229009952564	0.31066732892129206	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0
200000	0.2690250940508732	0.3902909692274132	0.27743531397624993	2.6432966189378835	1.303296276554272	0.8047338474367031	0.4038460592795588	0.14865319578945102	1.0794534532013607	0.06608093530897191	4.907089315569717	0.05521569426919105	1.25450023946399	0.2673520294175597	0.3769711091024908	1.776662540224158	0.674935965888368	2.883530419844604	0.7501369096829411	1.8452812207434515	0.18779815475320533	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	8.0
225000	0.7874624303631953	0.8346362911680719	1.8418762801632103	2.0275064005130057	1.1364104359161449	1.2010766737912724	0.4823237390604707	0.052200435976741365	1.2438307224267011	0.2458530778056751	1.6828303921123746	0.1848942754659733	0.9171680754890066	1.7932625207529183	1.4358065324496612	0.9147814963772634	1.0998637964803795	0.8664605325248411	0.2749294800389677	0.4818551968127133	0.6628687723184242	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	8.0
250000	0.713211278487538	0.6989875141937331	0.5939815928496552	1.401703618258011	0.9886117527653401	2.038744038975204	0.4197204024462561	1.0023042675322067	0.1579658080463764	0.18444348033803754	1.6298200571736985	0.969824595894754	0.34114922676162635	2.2161737185200594	0.4017612132529639	1.0458349282579922	0.151070492509322	1.0947135010033548	0.13585821592936242	1.7062312522753724	0.6285279997815886	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
275000	0.7810741925523018	0.17128317291919054	1.9340408922551775	0.07872024951471666	2.5647254860762745	1.6375540551509318	0.2858040043797557	0.24119852415130077	0.2369467379182019	0.1200060626677413	2.213630123754777	0.11949626746966628	0.17031837757304022	2.214079908504747	0.25408915202486043	0.6249222978118294	0.5206770664784678	0.08683088723069977	0.7619564811368122	0.7224487688406015	0.9812568997258843	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0
300000	0.13995347732306349	1.1430507542819144	0.92046507327354	0.18750891868994443	1.1434529183933795	1.1589712714102451	0.428219976827806	1.8743012979669653	0.6450053756756876	0.35096233598376375	0.4359492410878955	0.5883096034023967	0.2397709234906716	0.8785697227098086	0.2907486482608395	0.5122142329829354	3.7458991183425896	0.09394209584725773	1.256326440202695	3.1234351474151762	0.31533084527044236	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.0
325000	0.32240795087798874	0.3205991032439187	0.5693303613226246	0.10781522152601218	3.875384519963914	1.3271014655553857	0.4459748148639466	0.5792473422646401	0.7861790472732432	0.8864405982450521	0.4030240675507461	0.5603523945329902	0.07141269981238031	0.12634783876186256	0.2467376608002784	1.1222531900550152	0.3351325951543729	0.7541217417298632	0.819653392259023	0.3174817331881791	0.8166299532734467	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	8.0
350000	0.4576320320586956	0.2111303077600741	0.6449349397077196	0.09724424216066366	1.4385531044974604	1.4358993236816069	0.8365850710643294	2.093765225247717	1.3780156562069161	1.3789529241168865	2.0172542980859665	0.43396244993109606	0.025977779531043264	0.08932346899018791	0.20609242048478077	0.9391270805883676	0.46537831643145516	0.7874711202029562	0.14842407899350663	0.7965145424396045	4.528078262054604	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	8.0
375000	0.5919316746108888	0.2040628849455896	2.367581940078127	0.2079985078161483	2.186526308094191	0.2771118451295709	0.6668327226762792	0.28680697510674213	0.9985897737353809	0.8494363399180446	0.10638538316133732	2.6168070153505707	9.718786753862614E-4	0.12438204404144503	0.3278991386925415	2.343433062203587	0.12327750420759634	1.455084150305032	0.19270144106452064	1.9495420789257358	0.6058513213281739	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	8.0
400000	2.2400006589714128	1.3325937731608823	0.4092022335154684	1.089224179243477	0.34697677384242237	0.5656791652502855	0.5677928850378392	0.4016368904473792	1.0227549145359698	1.5112729582497824	0.18901062780993438	0.46854347995892415	0.03521403872167255	0.34278743066567613	2.8642791479629395	2.3403024859336	0.39943643314196026	1.527117295630329	0.8992443299387021	0.5959864548224222	0.05649573915605454	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0
425000	0.19544917191755015	0.5939829108341106	1.6045203301557682	0.7790975317573378	2.6495095608479597	0.46643311277923805	0.3211329222156725	0.5606034264558596	0.20010358917711477	1.4611169093092413	3.6835254043786025	0.08022419484077492	0.06526141523116007	0.13183564139247428	1.2551268355010654	0.0991921602570824	0.803930201666284	0.6146060833193643	0.7135204723037342	0.812104592301916	1.4586714653060713	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
